"Iteration","CL","CD","CSF","CMx","CMy","CMz","CFx","CFy","CFz","CL/CD","AoA","Custom_ObjFunc","HeatFlux_Total","HeatFlux_Maximum","Temperature_Total","Res_Flow[0]","Res_Flow[1]","Res_Flow[2]","Res_Flow[3]","Res_Flow[4]","Res_Turb[0]","Linear_Solver_Iterations","CFL_Number","Time(min)"
          12, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.25449765e+00, -3.36994480e+00, -4.30124619e+00, 1.84510245e+00, 0.00000000e+00, -13.2244739148, 10.0000000000, 902.3781799730, 0.0122038709
          13, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.32442144e+00, -3.38839306e+00, -4.30156694e+00, 1.77551290e+00, 0.00000000e+00, -13.2450596014, 10.0000000000, 904.7011767684, 0.0131011280
          14, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.39215989e+00, -3.38828444e+00, -4.30641799e+00, 1.70743418e+00, 0.00000000e+00, -13.2580849232, 10.0000000000, 1028.4348669369, 0.0139951589
          15, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.43138700e+00, -3.36086803e+00, -4.25380810e+00, 1.66823938e+00, 0.00000000e+00, -13.2679811911, 10.0000000000, 1165.8422043582, 0.0148993218
          16, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.48097302e+00, -3.34507685e+00, -4.21093515e+00, 1.61857685e+00, 0.00000000e+00, -13.2778625308, 10.0000000000, 1253.1285084246, 0.0158064245
          17, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.55309923e+00, -3.35422171e+00, -4.19314857e+00, 1.54667311e+00, 0.00000000e+00, -13.2866351844, 10.0000000000, 1373.1741864938, 0.0166984368
          18, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.62140742e+00, -3.35694222e+00, -4.20641672e+00, 1.48009617e+00, 0.00000000e+00, -13.2953655518, 10.0000000000, 1567.6482706002, 0.0176026539
          19, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.67454410e+00, -3.35287374e+00, -4.21366723e+00, 1.42517652e+00, 0.00000000e+00, -13.3129335361, 10.0000000000, 1772.1895895246, 0.0185127123
          20, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.71899337e+00, -3.36879947e+00, -4.23078663e+00, 1.38075702e+00, 0.00000000e+00, -13.3420608310, 10.0000000000, 1960.8568724436, 0.0194170012
          21, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.75336165e+00, -3.39520396e+00, -4.24594665e+00, 1.34607812e+00, 0.00000000e+00, -13.3762813555, 10.0000000000, 2128.0483835699, 0.0203137877
