"Pressure"	"Velocity:0"	"Velocity:1"	"Velocity:2"	"Temperature"	"Nu_Tilde"	"Residual_Pressure"	"Residual_Velocity:0"	"Residual_Velocity:1"	"Residual_Velocity:2"	"Residual_Temperature"	"Residual_Nu_Tilde"	"Pressure_Coefficient"	"Laminar_Viscosity"	"Skin_Friction_Coefficient:0"	"Skin_Friction_Coefficient:1"	"Skin_Friction_Coefficient:2"	"Heat_Flux"	"Y_Plus"	"Eddy_Viscosity"	"Thermal_Conductivity"	"vtkValidPointMask"	"arc_length"	"Points:0"	"Points:1"	"Points:2"
429.97	-0.058855	0.010887	0	322.14	2.815e-006	-5.0436e-013	1.8741e-012	4.0772e-012	0	3.5125e-006	-6.4933e-020	13.784	0.001003	0	0	0	0	0	0.00016288	1.3568	1	3.45e-005	0.0022	3.45e-005	0
429.97	-0.058784	0.011353	0	322.14	2.8149e-006	-5.17e-013	2.0174e-012	4.3473e-012	0	3.5431e-006	-6.1499e-020	13.784	0.001003	0	0	0	0	0	0.00016277	1.3563	1	3.6e-005	0.0022	3.6e-005	0
429.97	-0.058707	0.011815	0	322.14	2.8146e-006	-4.9099e-013	2.0082e-012	4.214e-012	0	3.5775e-006	-6.0749e-020	13.784	0.001003	0	0	0	0	0	0.00016281	1.3565	1	3.75e-005	0.0022	3.75e-005	0
429.97	-0.058625	0.012275	0	322.14	2.8143e-006	-4.6015e-013	1.8759e-012	3.9251e-012	0	3.61e-006	-5.9646e-020	13.784	0.001003	0	0	0	0	0	0.00016273	1.3562	1	3.9e-005	0.0022	3.9e-005	0
429.95	-0.05854	0.012734	0	322.14	2.8141e-006	-4.2642e-013	1.6699e-012	3.5431e-012	0	3.6412e-006	-5.8333e-020	13.783	0.001003	0	0	0	0	0	0.00016257	1.3554	1	4.05e-005	0.0022	4.05e-005	0
429.93	-0.058454	0.013196	0	322.14	2.8138e-006	-3.9699e-013	1.5064e-012	3.2028e-012	0	3.6634e-006	-5.6678e-020	13.783	0.001003	0	0	0	0	0	0.00016257	1.3554	1	4.2e-005	0.0022	4.2e-005	0
429.92	-0.058369	0.013659	0	322.13	2.8135e-006	-3.6838e-013	1.351e-012	2.8705e-012	0	3.684e-006	-5.4958e-020	13.782	0.001003	0	0	0	0	0	0.00016261	1.3556	1	4.35e-005	0.0022	4.35e-005	0
429.9	-0.058283	0.014123	0	322.13	2.8132e-006	-3.3976e-013	1.1956e-012	2.5381e-012	0	3.7045e-006	-5.3238e-020	13.782	0.001003	0	0	0	0	0	0.00016264	1.3558	1	4.5e-005	0.0022	4.5e-005	0
429.89	-0.058198	0.014586	0	322.12	2.8129e-006	-3.1115e-013	1.0402e-012	2.2057e-012	0	3.7251e-006	-5.1518e-020	13.781	0.001003	0	0	0	0	0	0.00016268	1.3559	1	4.65e-005	0.0022	4.65e-005	0
429.87	-0.058113	0.015049	0	322.12	2.8126e-006	-2.8253e-013	8.8481e-013	1.8733e-012	0	3.7457e-006	-4.9798e-020	13.781	0.001003	0	0	0	0	0	0.00016272	1.3561	1	4.8e-005	0.0022	4.8e-005	0
429.86	-0.058019	0.01551	0	322.12	2.8123e-006	-2.4803e-013	7.2854e-013	1.4932e-012	0	3.7758e-006	-4.9409e-020	13.78	0.001003	0	0	0	0	0	0.0001626	1.3556	1	4.95e-005	0.0022	4.95e-005	0
429.85	-0.057923	0.01597	0	322.11	2.812e-006	-2.117e-013	5.7199e-013	1.0983e-012	0	3.809e-006	-4.943e-020	13.78	0.001003	0	0	0	0	0	0.00016244	1.3548	1	5.1e-005	0.0022	5.1e-005	0
429.84	-0.057826	0.01643	0	322.11	2.8117e-006	-1.7537e-013	4.1544e-013	7.0346e-013	0	3.8421e-006	-4.9452e-020	13.78	0.001003	0	0	0	0	0	0.00016228	1.354	1	5.25e-005	0.0022	5.25e-005	0
429.82	-0.05773	0.016889	0	322.11	2.8114e-006	-1.3904e-013	2.589e-013	3.0857e-013	0	3.8752e-006	-4.9474e-020	13.779	0.001003	0	0	0	0	0	0.00016211	1.3533	1	5.4e-005	0.0022	5.4e-005	0
429.81	-0.057633	0.017347	0	322.1	2.8111e-006	-1.1575e-013	1.0047e-013	-5.2293e-014	0	3.9029e-006	-4.9401e-020	13.779	0.001003	0	0	0	0	0	0.00016199	1.3527	1	5.55e-005	0.0022	5.55e-005	0
429.8	-0.05753	0.017799	0	322.1	2.8107e-006	-1.4219e-013	-6.5154e-014	-2.8337e-013	0	3.9098e-006	-4.8972e-020	13.778	0.001003	0	0	0	0	0	0.000162	1.3528	1	5.7e-005	0.0022	5.7e-005	0
