"Iteration","HeatFlux_Total","HeatFlux_Maximum","Temperature_Total","Res_Heat","Linear_Solver_Iterations","CFL_Number","Time(min)"
          46, -3.43284559e+03, 0.00000000e+00, 0.00000000e+00, -6.78059429e+00, 0.0000000000, 4488.6000558517, 0.0430348329
          47, -3.15215865e+03, 0.00000000e+00, 0.00000000e+00, -6.76320175e+00, 0.0000000000, 6746.1680078382, 0.0439300005
          48, -3.26434220e+03, 0.00000000e+00, 0.00000000e+00, -6.71293727e+00, 0.0000000000, 6481.3372083608, 0.0448275025
          49, -3.33405477e+03, 0.00000000e+00, 0.00000000e+00, -6.80058462e+00, 0.0000000000, 5772.9811141220, 0.0457233900
          50, -3.15586326e+03, 0.00000000e+00, 0.00000000e+00, -6.81060934e+00, 0.0000000000, 6784.5026805189, 0.0466169926
          51, -3.16744313e+03, 0.00000000e+00, 0.00000000e+00, -6.74642774e+00, 0.0000000000, 6910.9506184302, 0.0475158169
          52, -3.27035374e+03, 0.00000000e+00, 0.00000000e+00, -6.75437612e+00, 0.0000000000, 5961.5087871998, 0.0484186355
          53, -3.17893982e+03, 0.00000000e+00, 0.00000000e+00, -6.79051647e+00, 0.0000000000, 6049.4361397919, 0.0493221778
          54, -3.10851015e+03, 0.00000000e+00, 0.00000000e+00, -6.77117749e+00, 0.0000000000, 6465.8730992855, 0.0502169911
          55, -3.14855694e+03, 0.00000000e+00, 0.00000000e+00, -6.74090147e+00, 0.0000000000, 6184.2665118127, 0.0511162105
          56, -3.17598243e+03, 0.00000000e+00, 0.00000000e+00, -6.75962690e+00, 0.0000000000, 5767.8262772294, 0.0520120315
          57, -3.10128946e+03, 0.00000000e+00, 0.00000000e+00, -6.75495716e+00, 0.0000000000, 5970.2499963719, 0.0529082581
          58, -3.09904902e+03, 0.00000000e+00, 0.00000000e+00, -6.73879854e+00, 0.0000000000, 5906.3989540598, 0.0538051449
          59, -3.10962041e+03, 0.00000000e+00, 0.00000000e+00, -6.73530708e+00, 0.0000000000, 5690.6799342433, 0.0547020004
          60, -3.08578338e+03, 0.00000000e+00, 0.00000000e+00, -6.73075725e+00, 0.0000000000, 5645.1138136966, 0.0556020091
          61, -3.07400946e+03, 0.00000000e+00, 0.00000000e+00, -6.72214436e+00, 0.0000000000, 5586.2821087601, 0.0564971965
          62, -3.07394450e+03, 0.00000000e+00, 0.00000000e+00, -6.71663070e+00, 0.0000000000, 5476.5868687175, 0.0574034440
          63, -3.06693510e+03, 0.00000000e+00, 0.00000000e+00, -6.71205747e+00, 0.0000000000, 5407.4974016255, 0.0582921175
          64, -3.05845255e+03, 0.00000000e+00, 0.00000000e+00, -6.70636820e+00, 0.0000000000, 5350.8538071949, 0.0591856955
          65, -3.04872109e+03, 0.00000000e+00, 0.00000000e+00, -6.69922904e+00, 0.0000000000, 5281.2146759846, 0.0600773765
          66, -3.03774043e+03, 0.00000000e+00, 0.00000000e+00, -6.69046752e+00, 0.0000000000, 5195.1089756269, 0.0609726721
          67, -3.03030002e+03, 0.00000000e+00, 0.00000000e+00, -6.68202897e+00, 0.0000000000, 5091.3522251114, 0.0618844967
          68, -3.02276230e+03, 0.00000000e+00, 0.00000000e+00, -6.67369138e+00, 0.0000000000, 4993.3796189168, 0.0627828829
          69, -3.01486314e+03, 0.00000000e+00, 0.00000000e+00, -6.66513352e+00, 0.0000000000, 4898.4310809955, 0.0636885553
          70, -3.00725095e+03, 0.00000000e+00, 0.00000000e+00, -6.65644662e+00, 0.0000000000, 4802.8513172321, 0.0645819701
          71, -3.01102528e+03, 0.00000000e+00, 0.00000000e+00, -6.65335913e+00, 0.0000000000, 4707.7374870343, 0.0654745582
          72, -3.01186125e+03, 0.00000000e+00, 0.00000000e+00, -6.65179820e+00, 0.0000000000, 4674.3878626238, 0.0663733526
          73, -2.99397909e+03, 0.00000000e+00, 0.00000000e+00, -6.64137466e+00, 0.0000000000, 4657.6175347475, 0.0672707116
          74, -3.00159194e+03, 0.00000000e+00, 0.00000000e+00, -6.64036085e+00, 0.0000000000, 4547.1604888443, 0.0681636025
          75, -2.99930573e+03, 0.00000000e+00, 0.00000000e+00, -6.63787714e+00, 0.0000000000, 4536.5579708324, 0.0690611240
          76, -2.99450242e+03, 0.00000000e+00, 0.00000000e+00, -6.63416256e+00, 0.0000000000, 4510.6877387348, 0.0699557562
          77, -2.98677477e+03, 0.00000000e+00, 0.00000000e+00, -6.62811273e+00, 0.0000000000, 4472.2716940581, 0.0708503000
          78, -2.99033709e+03, 0.00000000e+00, 0.00000000e+00, -6.62718080e+00, 0.0000000000, 4410.4037646613, 0.0717451985
          79, -2.99312144e+03, 0.00000000e+00, 0.00000000e+00, -6.62798426e+00, 0.0000000000, 4400.9498559374, 0.0726370430
          80, -2.98542630e+03, 0.00000000e+00, 0.00000000e+00, -6.62399392e+00, 0.0000000000, 4407.4681849395, 0.0735246557
          81, -2.98549156e+03, 0.00000000e+00, 0.00000000e+00, -6.62259855e+00, 0.0000000000, 4367.1574416311, 0.0744209979
          82, -2.98581753e+03, 0.00000000e+00, 0.00000000e+00, -6.62206539e+00, 0.0000000000, 4353.1484592327, 0.0753106286
          83, -2.98628251e+03, 0.00000000e+00, 0.00000000e+00, -6.62222204e+00, 0.0000000000, 4347.8075732366, 0.0762052729
          84, -2.98278462e+03, 0.00000000e+00, 0.00000000e+00, -6.62046618e+00, 0.0000000000, 4349.0623508695, 0.0770948981
          85, -2.98033873e+03, 0.00000000e+00, 0.00000000e+00, -6.61858419e+00, 0.0000000000, 4331.5145379301, 0.0779913334
          86, -2.97493735e+03, 0.00000000e+00, 0.00000000e+00, -6.61476687e+00, 0.0000000000, 4312.7848221089, 0.0788834997
          87, -2.96965515e+03, 0.00000000e+00, 0.00000000e+00, -6.61018526e+00, 0.0000000000, 4275.0427652905, 0.0797870584
          88, -2.96353726e+03, 0.00000000e+00, 0.00000000e+00, -6.60459964e+00, 0.0000000000, 4230.1800744173, 0.0806781022
          89, -2.95827131e+03, 0.00000000e+00, 0.00000000e+00, -6.59903441e+00, 0.0000000000, 4176.1225305228, 0.0815817970
          90, -2.95560699e+03, 0.00000000e+00, 0.00000000e+00, -6.59495389e+00, 0.0000000000, 4122.9494504171, 0.0824770842
          91, -2.95930295e+03, 0.00000000e+00, 0.00000000e+00, -6.59529905e+00, 0.0000000000, 4084.3926389306, 0.0833674807
          92, -2.95741285e+03, 0.00000000e+00, 0.00000000e+00, -6.59398073e+00, 0.0000000000, 4086.9903556996, 0.0842638482
          93, -2.95462018e+03, 0.00000000e+00, 0.00000000e+00, -6.59201958e+00, 0.0000000000, 4074.6029677965, 0.0851614153
          94, -2.94588966e+03, 0.00000000e+00, 0.00000000e+00, -6.58615801e+00, 0.0000000000, 4056.2447076942, 0.0860506311
          95, -2.94709659e+03, 0.00000000e+00, 0.00000000e+00, -6.58497091e+00, 0.0000000000, 4001.8663244294, 0.0869446180
          96, -2.94487591e+03, 0.00000000e+00, 0.00000000e+00, -6.58294345e+00, 0.0000000000, 3990.9425324179, 0.0878331224
          97, -2.93850910e+03, 0.00000000e+00, 0.00000000e+00, -6.57832716e+00, 0.0000000000, 3972.3546735475, 0.0887325923
          98, -2.94118704e+03, 0.00000000e+00, 0.00000000e+00, -6.57849428e+00, 0.0000000000, 3930.3545463396, 0.0896311862
          99, -2.93673111e+03, 0.00000000e+00, 0.00000000e+00, -6.57549118e+00, 0.0000000000, 3931.5646577112, 0.0905287270
         100, -2.94270907e+03, 0.00000000e+00, 0.00000000e+00, -6.57832512e+00, 0.0000000000, 3904.4720683305, 0.0914256290
         101, -2.93400467e+03, 0.00000000e+00, 0.00000000e+00, -6.57333991e+00, 0.0000000000, 3924.9079354551, 0.0923401397
         102, -2.93625092e+03, 0.00000000e+00, 0.00000000e+00, -6.57342784e+00, 0.0000000000, 3880.1120014970, 0.0932196430
         103, -2.93222943e+03, 0.00000000e+00, 0.00000000e+00, -6.57066970e+00, 0.0000000000, 3880.7405689041, 0.0942075978
         104, -2.93557097e+03, 0.00000000e+00, 0.00000000e+00, -6.57193140e+00, 0.0000000000, 3856.1726550525, 0.0951531214
         105, -2.93237696e+03, 0.00000000e+00, 0.00000000e+00, -6.56999381e+00, 0.0000000000, 3865.1452994579, 0.0961600959
         106, -2.93144128e+03, 0.00000000e+00, 0.00000000e+00, -6.56886515e+00, 0.0000000000, 3847.9395591514, 0.0971088781
         107, -2.92774284e+03, 0.00000000e+00, 0.00000000e+00, -6.56608160e+00, 0.0000000000, 3837.9523229786, 0.0979899786
         108, -2.92511036e+03, 0.00000000e+00, 0.00000000e+00, -6.56348882e+00, 0.0000000000, 3813.4321720785, 0.0988724133
         109, -2.92063118e+03, 0.00000000e+00, 0.00000000e+00, -6.55965087e+00, 0.0000000000, 3790.7334218963, 0.0997544411
         110, -2.91645584e+03, 0.00000000e+00, 0.00000000e+00, -6.55561202e+00, 0.0000000000, 3757.3815538183, 0.1006455976
         111, -2.91322700e+03, 0.00000000e+00, 0.00000000e+00, -6.55200382e+00, 0.0000000000, 3722.6006217512, 0.1015290278
         112, -2.91172412e+03, 0.00000000e+00, 0.00000000e+00, -6.54957087e+00, 0.0000000000, 3691.8007032313, 0.1024065723
         113, -2.91056838e+03, 0.00000000e+00, 0.00000000e+00, -6.54772547e+00, 0.0000000000, 3671.1767531682, 0.1032826464
         114, -2.91046407e+03, 0.00000000e+00, 0.00000000e+00, -6.54681942e+00, 0.0000000000, 3655.6103279154, 0.1041592448
         115, -2.90816895e+03, 0.00000000e+00, 0.00000000e+00, -6.54487350e+00, 0.0000000000, 3647.9917431716, 0.1050405220
         116, -2.90514430e+03, 0.00000000e+00, 0.00000000e+00, -6.54227237e+00, 0.0000000000, 3631.6829738042, 0.1059224508
         117, -2.90630801e+03, 0.00000000e+00, 0.00000000e+00, -6.54215421e+00, 0.0000000000, 3609.9966551347, 0.1068137244
         118, -2.90317876e+03, 0.00000000e+00, 0.00000000e+00, -6.53987099e+00, 0.0000000000, 3609.0145749934, 0.1076951680
         119, -2.90882455e+03, 0.00000000e+00, 0.00000000e+00, -6.54286854e+00, 0.0000000000, 3590.0906793650, 0.1085750227
         120, -2.90225445e+03, 0.00000000e+00, 0.00000000e+00, -6.53891722e+00, 0.0000000000, 3609.9688555431, 0.1094595255
         121, -2.90937897e+03, 0.00000000e+00, 0.00000000e+00, -6.54260351e+00, 0.0000000000, 3577.2734637077, 0.1103394519
         122, -2.90550096e+03, 0.00000000e+00, 0.00000000e+00, -6.54040165e+00, 0.0000000000, 3601.6472415743, 0.1112219201
         123, -2.91182350e+03, 0.00000000e+00, 0.00000000e+00, -6.54404502e+00, 0.0000000000, 3583.4331853123, 0.1120982328
         124, -2.90792079e+03, 0.00000000e+00, 0.00000000e+00, -6.54196953e+00, 0.0000000000, 3607.5636917076, 0.1129822674
         125, -2.91236796e+03, 0.00000000e+00, 0.00000000e+00, -6.54447943e+00, 0.0000000000, 3590.3643025004, 0.1138629878
         126, -2.91223485e+03, 0.00000000e+00, 0.00000000e+00, -6.54469577e+00, 0.0000000000, 3607.0024518597, 0.1147486283
         127, -2.91369419e+03, 0.00000000e+00, 0.00000000e+00, -6.54580414e+00, 0.0000000000, 3608.4401507350, 0.1156348805
         128, -2.91156746e+03, 0.00000000e+00, 0.00000000e+00, -6.54470628e+00, 0.0000000000, 3615.8150093717, 0.1165171526
         129, -2.91035150e+03, 0.00000000e+00, 0.00000000e+00, -6.54380091e+00, 0.0000000000, 3606.6860736456, 0.1173934997
         130, -2.90737394e+03, 0.00000000e+00, 0.00000000e+00, -6.54169645e+00, 0.0000000000, 3599.1751211965, 0.1182709352
         131, -2.90485714e+03, 0.00000000e+00, 0.00000000e+00, -6.53957239e+00, 0.0000000000, 3581.7767763925, 0.1191539348
         132, -2.90285703e+03, 0.00000000e+00, 0.00000000e+00, -6.53768232e+00, 0.0000000000, 3564.3016365318, 0.1200268434
         133, -2.90061536e+03, 0.00000000e+00, 0.00000000e+00, -6.53566680e+00, 0.0000000000, 3548.8233773291, 0.1208998008
         134, -2.89963636e+03, 0.00000000e+00, 0.00000000e+00, -6.53444098e+00, 0.0000000000, 3532.3917899117, 0.1217743411
         135, -2.90122777e+03, 0.00000000e+00, 0.00000000e+00, -6.53506285e+00, 0.0000000000, 3522.4354539658, 0.1226546537
         136, -2.90368924e+03, 0.00000000e+00, 0.00000000e+00, -6.53666836e+00, 0.0000000000, 3526.4728197606, 0.1235397457
         137, -2.89990276e+03, 0.00000000e+00, 0.00000000e+00, -6.53450376e+00, 0.0000000000, 3536.9176645243, 0.1244168494
         138, -2.89656565e+03, 0.00000000e+00, 0.00000000e+00, -6.53202557e+00, 0.0000000000, 3519.3328788611, 0.1253028323
         139, -2.89808789e+03, 0.00000000e+00, 0.00000000e+00, -6.53241692e+00, 0.0000000000, 3499.3079492182, 0.1261781451
         140, -2.89610052e+03, 0.00000000e+00, 0.00000000e+00, -6.53105548e+00, 0.0000000000, 3501.8314385836, 0.1270573785
         141, -2.89832638e+03, 0.00000000e+00, 0.00000000e+00, -6.53218690e+00, 0.0000000000, 3490.8709845852, 0.1279404549
         142, -2.89985525e+03, 0.00000000e+00, 0.00000000e+00, -6.53327169e+00, 0.0000000000, 3498.1541045930, 0.1288178966
         143, -2.90100659e+03, 0.00000000e+00, 0.00000000e+00, -6.53418617e+00, 0.0000000000, 3505.1513049727, 0.1296941489
         144, -2.89930981e+03, 0.00000000e+00, 0.00000000e+00, -6.53327935e+00, 0.0000000000, 3511.0608341202, 0.1305709305
         145, -2.89999192e+03, 0.00000000e+00, 0.00000000e+00, -6.53360880e+00, 0.0000000000, 3503.7372173699, 0.1314495444
         146, -2.90182978e+03, 0.00000000e+00, 0.00000000e+00, -6.53484523e+00, 0.0000000000, 3505.8641710149, 0.1323246528
         147, -2.90187984e+03, 0.00000000e+00, 0.00000000e+00, -6.53506183e+00, 0.0000000000, 3513.8582413933, 0.1331959541
         148, -2.89992709e+03, 0.00000000e+00, 0.00000000e+00, -6.53389728e+00, 0.0000000000, 3515.2605166537, 0.1340753399
         149, -2.89875836e+03, 0.00000000e+00, 0.00000000e+00, -6.53291757e+00, 0.0000000000, 3505.8470759828, 0.1349536120
         150, -2.90017531e+03, 0.00000000e+00, 0.00000000e+00, -6.53356303e+00, 0.0000000000, 3497.9472308694, 0.1358332425
         151, -2.89705861e+03, 0.00000000e+00, 0.00000000e+00, -6.53155320e+00, 0.0000000000, 3502.1086760271, 0.1367089446
         152, -2.89613027e+03, 0.00000000e+00, 0.00000000e+00, -6.53049834e+00, 0.0000000000, 3485.9390439062, 0.1375850505
         153, -2.89406843e+03, 0.00000000e+00, 0.00000000e+00, -6.52881487e+00, 0.0000000000, 3477.4823420254, 0.1384635984
         154, -2.89552149e+03, 0.00000000e+00, 0.00000000e+00, -6.52927134e+00, 0.0000000000, 3464.0285725918, 0.1393424963
         155, -2.88938581e+03, 0.00000000e+00, 0.00000000e+00, -6.52521177e+00, 0.0000000000, 3466.9425212245, 0.1402236350
         156, -2.89283915e+03, 0.00000000e+00, 0.00000000e+00, -6.52652868e+00, 0.0000000000, 3434.6862601156, 0.1411005377
         157, -2.88886018e+03, 0.00000000e+00, 0.00000000e+00, -6.52384558e+00, 0.0000000000, 3443.0283434502, 0.1419750306
         158, -2.89295111e+03, 0.00000000e+00, 0.00000000e+00, -6.52585061e+00, 0.0000000000, 3421.8226355766, 0.1428582561
         159, -2.88449659e+03, 0.00000000e+00, 0.00000000e+00, -6.52040915e+00, 0.0000000000, 3434.4842068666, 0.1437364125
         160, -2.89455290e+03, 0.00000000e+00, 0.00000000e+00, -6.52573069e+00, 0.0000000000, 3391.7205399080, 0.1446142930
         161, -2.89229599e+03, 0.00000000e+00, 0.00000000e+00, -6.52444740e+00, 0.0000000000, 3425.1318069399, 0.1455013742
         162, -2.89548187e+03, 0.00000000e+00, 0.00000000e+00, -6.52625780e+00, 0.0000000000, 3415.0258921900, 0.1463847646
         163, -2.88980995e+03, 0.00000000e+00, 0.00000000e+00, -6.52270629e+00, 0.0000000000, 3426.4336432351, 0.1472570227
         164, -2.89858008e+03, 0.00000000e+00, 0.00000000e+00, -6.52765266e+00, 0.0000000000, 3398.5276667566, 0.1481364280
         165, -2.89736489e+03, 0.00000000e+00, 0.00000000e+00, -6.52715053e+00, 0.0000000000, 3429.6350505360, 0.1490104760
         166, -2.90052752e+03, 0.00000000e+00, 0.00000000e+00, -6.52916620e+00, 0.0000000000, 3425.6719800940, 0.1498867622
         167, -2.89953758e+03, 0.00000000e+00, 0.00000000e+00, -6.52872232e+00, 0.0000000000, 3438.4151622079, 0.1507612103
         168, -2.90340311e+03, 0.00000000e+00, 0.00000000e+00, -6.53118496e+00, 0.0000000000, 3434.9026687541, 0.1516438454
         169, -2.90324462e+03, 0.00000000e+00, 0.00000000e+00, -6.53133408e+00, 0.0000000000, 3450.5199467053, 0.1525185625
         170, -2.90338395e+03, 0.00000000e+00, 0.00000000e+00, -6.53152538e+00, 0.0000000000, 3451.4679274149, 0.1533963635
         171, -2.90257313e+03, 0.00000000e+00, 0.00000000e+00, -6.53106996e+00, 0.0000000000, 3452.6844006693, 0.1542724962
         172, -2.90137366e+03, 0.00000000e+00, 0.00000000e+00, -6.53023897e+00, 0.0000000000, 3449.0656133868, 0.1551620358
         173, -2.89967193e+03, 0.00000000e+00, 0.00000000e+00, -6.52896693e+00, 0.0000000000, 3442.4724256079, 0.1560419688
         174, -2.89725164e+03, 0.00000000e+00, 0.00000000e+00, -6.52710702e+00, 0.0000000000, 3432.4042290406, 0.1569135241
         175, -2.89585156e+03, 0.00000000e+00, 0.00000000e+00, -6.52574885e+00, 0.0000000000, 3417.7360277523, 0.1577924944
         176, -2.89484431e+03, 0.00000000e+00, 0.00000000e+00, -6.52469434e+00, 0.0000000000, 3407.0644958974, 0.1586681024
         177, -2.89931803e+03, 0.00000000e+00, 0.00000000e+00, -6.52727922e+00, 0.0000000000, 3398.8017867410, 0.1595388721
         178, -2.89647701e+03, 0.00000000e+00, 0.00000000e+00, -6.52561329e+00, 0.0000000000, 3415.0238605941, 0.1604063439
         179, -2.89151307e+03, 0.00000000e+00, 0.00000000e+00, -6.52212370e+00, 0.0000000000, 3401.9491231442, 0.1612749347
         180, -2.89435966e+03, 0.00000000e+00, 0.00000000e+00, -6.52321917e+00, 0.0000000000, 3374.7237275699, 0.1621473343
         181, -2.89612331e+03, 0.00000000e+00, 0.00000000e+00, -6.52425494e+00, 0.0000000000, 3381.5405290590, 0.1630202663
