"Conservative_1"	"Residual_1"	"Points:0"	"Points:1"	"Points:2"
395	-1.7075e-016	0.0018478	0.00053822	0
395	4.538e-016	0.0018392	0.00055146	0
395	-8.2149e-017	0.0018304	0.00056456	0
395	6.358e-017	0.0018214	0.00057752	0
394.99	5.2028e-016	0.0018122	0.00059034	0
394.99	4.8108e-016	0.0018027	0.00060301	0
394.99	-1.0651e-016	0.0017931	0.00061552	0
394.98	5.9954e-016	0.0017833	0.00062789	0
394.98	-1.7529e-017	0.0017733	0.0006401	0
394.98	-2.0522e-017	0.0017631	0.00065214	0
394.98	-1.4335e-016	0.0017527	0.00066403	0
394.98	1.0377e-016	0.0017421	0.00067575	0
394.99	3.0104e-016	0.0017314	0.0006873	0
394.99	-1.9741e-017	0.0017204	0.00069869	0
395	-9.8103e-017	0.0017093	0.00070989	0
395.01	-6.5504e-017	0.001698	0.00072092	0
395.02	-1.9459e-016	0.0016865	0.00073177	0
395.03	-4.967e-017	0.0016749	0.00074244	0
395.04	-2.0333e-016	0.0016631	0.00075292	0
395.04	7.3303e-016	0.0016511	0.00076322	0
395.05	2.0236e-016	0.001639	0.00077332	0
395.05	-2.4239e-016	0.0016267	0.00078324	0
395.05	5.71e-016	0.0016143	0.00079295	0
395.04	-2.486e-016	0.0016017	0.00080247	0
395.03	3.5947e-017	0.0015889	0.00081179	0
395.02	2.396e-016	0.0015761	0.00082091	0
394.99	5.8247e-016	0.001563	0.00082982	0
394.97	3.1542e-016	0.0015499	0.00083853	0
394.94	7.6954e-017	0.0015366	0.00084702	0
394.9	5.1147e-016	0.0015231	0.00085531	0
394.86	2.8909e-016	0.0015095	0.00086338	0
394.81	5.8974e-016	0.0014959	0.00087124	0
394.77	3.5839e-016	0.001482	0.00087888	0
394.72	3.026e-016	0.0014681	0.0008863	0
394.67	3.9728e-016	0.0014541	0.0008935	0
394.62	6.8852e-016	0.0014399	0.00090048	0
394.57	3.43e-016	0.0014256	0.00090723	0
394.52	-2.7575e-016	0.0014113	0.00091376	0
394.47	2.3905e-016	0.0013968	0.00092006	0
394.41	5.9377e-016	0.0013822	0.00092613	0
394.36	4.051e-017	0.0013675	0.00093197	0
394.31	4.6994e-016	0.0013528	0.00093758	0
394.25	1.32e-017	0.0013379	0.00094295	0
394.2	3.3201e-016	0.001323	0.00094809	0
394.14	-4.0706e-017	0.001308	0.00095299	0
394.08	4.5698e-016	0.0012929	0.00095765	0
394.03	1.3032e-016	0.0012778	0.00096208	0
393.97	4.9123e-016	0.0012625	0.00096627	0
393.91	2.9299e-016	0.0012473	0.00097021	0
393.85	7.9621e-020	0.0012319	0.00097391	0
393.78	-1.3506e-016	0.0012165	0.00097738	0
393.72	6.0164e-017	0.0012011	0.00098059	0
393.66	5.7454e-016	0.0011856	0.00098357	0
393.59	-1.2586e-016	0.00117	0.00098629	0
393.53	-7.0927e-017	0.0011544	0.00098877	0
393.47	3.0332e-016	0.0011388	0.00099101	0
393.4	3.2682e-016	0.0011231	0.000993	0
393.34	-1.3492e-016	0.0011074	0.00099474	0
393.27	6.891e-016	0.0010917	0.00099623	0
393.21	5.7174e-017	0.001076	0.00099748	0
393.14	4.8006e-016	0.0010602	0.00099847	0
393.08	1.2798e-016	0.0010445	0.00099922	0
393.02	2.301e-016	0.0010287	0.00099972	0
392.95	4.2268e-016	0.0010129	0.00099997	0
392.89	2.6726e-016	0.00099711	0.00099997	0
392.83	-1.6841e-017	0.00098132	0.00099972	0
392.77	-3.2537e-016	0.00096554	0.00099922	0
