"Conservative_1"	"Residual_1"	"Points:0"	"Points:1"	"Points:2"
1.3226	7.6687e-015	0.00073223	0.00096208	0
1.3224	7.6462e-015	0.00071708	0.00095765	0
1.3222	7.6112e-015	0.00070199	0.00095299	0
1.322	7.5693e-015	0.00068699	0.00094809	0
1.3218	7.4702e-015	0.00067206	0.00094295	0
1.3216	6.887e-015	0.00065722	0.00093758	0
1.3214	7.4412e-015	0.00064246	0.00093197	0
1.3212	7.1206e-015	0.00062779	0.00092613	0
1.3211	7.515e-015	0.00061322	0.00092006	0
1.3209	7.4234e-015	0.00059874	0.00091376	0
1.3207	7.477e-015	0.00058437	0.00090723	0
1.3205	6.3689e-015	0.0005701	0.00090048	0
1.3204	7.9503e-015	0.00055594	0.0008935	0
1.3202	5.4331e-015	0.00054189	0.0008863	0
1.32	6.409e-015	0.00052796	0.00087888	0
1.3199	6.5756e-015	0.00051414	0.00087124	0
1.3197	5.9649e-015	0.00050045	0.00086338	0
1.3196	5.9423e-015	0.00048688	0.00085531	0
1.3194	6.1849e-015	0.00047345	0.00084702	0
1.3193	5.9577e-015	0.00046014	0.00083853	0
1.3191	5.6057e-015	0.00044697	0.00082982	0
1.319	5.5538e-015	0.00043394	0.00082091	0
1.3188	5.8032e-015	0.00042105	0.00081179	0
1.3187	6.0401e-015	0.00040831	0.00080247	0
1.3186	6.0421e-015	0.00039572	0.00079295	0
1.3184	6.0635e-015	0.00038327	0.00078324	0
1.3183	6.5711e-015	0.00037099	0.00077332	0
1.3182	6.9848e-015	0.00035886	0.00076322	0
1.3181	6.9659e-015	0.00034689	0.00075292	0
1.318	1.098e-014	0.00033509	0.00074244	0
1.3178	1.2033e-014	0.00032345	0.00073177	0
1.3177	1.0117e-014	0.00031198	0.00072092	0
1.3176	8.7735e-015	0.00030069	0.00070989	0
1.3175	6.2838e-015	0.00028957	0.00069869	0
1.3174	5.9036e-015	0.00027863	0.0006873	0
1.3173	6.4546e-015	0.00026787	0.00067575	0
1.3172	5.6733e-015	0.0002573	0.00066403	0
1.3171	5.631e-015	0.00024691	0.00065214	0
1.317	6.1346e-015	0.00023671	0.0006401	0
1.3169	5.9554e-015	0.0002267	0.00062789	0
1.3168	5.4454e-015	0.00021688	0.00061552	0
1.3167	5.2251e-015	0.00020726	0.00060301	0
1.3166	5.1695e-015	0.00019784	0.00059034	0
1.3166	4.9845e-015	0.00018862	0.00057752	0
1.3165	4.9084e-015	0.00017961	0.00056456	0
1.3164	5.1183e-015	0.0001708	0.00055146	0
1.3163	4.9511e-015	0.0001622	0.00053822	0
1.3162	4.6109e-015	0.00015381	0.00052485	0
1.3162	4.2331e-015	0.00014563	0.00051135	0
1.3161	5.7907e-015	0.00013766	0.00049772	0
1.316	4.4719e-015	0.00012991	0.00048397	0
1.316	5.3011e-015	0.00012238	0.00047009	0
1.3159	4.8692e-015	0.00011507	0.0004561	0
1.3158	4.7371e-015	0.00010798	0.00044199	0
1.3158	5.0413e-015	0.00010112	0.00042778	0
1.3157	5.3219e-015	9.4476e-005	0.00041346	0
1.3157	5.3605e-015	8.8062e-005	0.00039903	0
1.3156	5.2922e-015	8.1877e-005	0.00038451	0
1.3156	5.2866e-015	7.5923e-005	0.00036989	0
1.3155	5.3266e-015	7.0199e-005	0.00035517	0
1.3155	5.2613e-015	6.4709e-005	0.00034037	0
1.3154	5.2139e-015	5.9453e-005	0.00032549	0
1.3154	5.3657e-015	5.4433e-005	0.00031052	0
1.3153	5.362e-015	4.9649e-005	0.00029547	0
1.3153	3.9e-015	4.5104e-005	0.00028036	0
1.3153	4.4877e-015	4.0798e-005	0.00026517	0
1.3152	5.4616e-015	3.6732e-005	0.00024991	0
1.3152	5.0817e-015	3.2907e-005	0.0002346	0
1.3152	5.517e-015	2.9325e-005	0.00021922	0
1.3151	5.7367e-015	2.5986e-005	0.00020379	0
1.3151	5.4676e-015	2.2891e-005	0.00018831	0
1.3151	5.4018e-015	2.004e-005	0.00017278	0
1.3151	5.3729e-015	1.7435e-005	0.00015721	0
1.3151	5.1816e-015	1.5077e-005	0.0001416	0
1.3151	4.9567e-015	1.2965e-005	0.00012596	0
1.3151	4.8093e-015	1.11e-005	0.00011028	0
1.315	4.8198e-015	9.4827e-006	9.458e-005	0
1.315	4.9926e-015	8.1137e-006	7.8853e-005	0
1.315	4.8707e-015	6.9931e-006	6.3106e-005	0
1.3151	4.6354e-015	6.1213e-006	4.7343e-005	0
1.3151	5.4714e-015	5.4984e-006	3.1569e-005	0
1.3151	4.2371e-015	5.1246e-006	1.5786e-005	0
