"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Skin_Friction_Coefficient_X", "Skin_Friction_Coefficient_Y", "Heat_Flux"
983, 7.019948196931272e-04, 9.529889090158394e-04, 4.012589128619354e+02, 1.286343940250644e+01, 4.853187712977512e-01, 1.543083034987760e-01, -1.731916890186926e+06
984, 6.869884637607617e-04, 9.480868435005096e-04, 4.043266810384548e+02, 1.296178500624179e+01, 4.868118686514308e-01, 1.632886177786685e-01, -1.744647270115246e+06
985, 6.720613629702388e-04, 9.429484948674371e-04, 4.075150888959670e+02, 1.306399804114500e+01, 4.875707505789771e-01, 1.721527125149753e-01, -1.756765801628419e+06
986, 6.572172374680176e-04, 9.375751437008251e-04, 4.108163578524377e+02, 1.316982914373673e+01, 4.876161196191922e-01, 1.808756154380322e-01, -1.768292869913996e+06
886, 1.945291112272676e-03, 3.403713034041128e-04, 4.274852789662577e+02, 1.370419648058530e+01, -1.078819529809609e-02, 2.980287719560696e-02, -8.447785310727780e+05
887, 1.939800758373598e-03, 3.551725526334284e-04, 4.274268671642987e+02, 1.370232393233576e+01, -1.031744259702446e-02, 2.715511965286346e-02, -8.039686704844355e+05
888, 1.934077432527730e-03, 3.698852854165469e-04, 4.273861974615890e+02, 1.370102015504994e+01, -9.771268996094267e-03, 2.454346217424081e-02, -7.624209956757337e+05
889, 1.928122561107861e-03, 3.845058350320109e-04, 4.273609108034124e+02, 1.370020952285032e+01, -9.162440040867760e-03, 2.199720874410049e-02, -7.206563132509392e+05
890, 1.921937628192789e-03, 3.990305577323410e-04, 4.273489435160329e+02, 1.369982587909542e+01, -8.503283639510330e-03, 1.953980862160701e-02, -6.794432924700088e+05
891, 1.915524175197462e-03, 4.134558336521341e-04, 4.273486377999959e+02, 1.369981607854124e+01, -7.806113745241500e-03, 1.719084531133688e-02, -6.397819311543884e+05
892, 1.908883800488824e-03, 4.277780677102096e-04, 4.273587911084945e+02, 1.370014157029836e+01, -7.084003295718632e-03, 1.496831255488034e-02, -6.028475625211304e+05
893, 1.902018158987463e-03, 4.419936905055792e-04, 4.273786359030724e+02, 1.370077774884624e+01, -6.351778402734996e-03, 1.289081878657622e-02, -5.699014907737927e+05
894, 1.894928961755180e-03, 4.560991592070160e-04, 4.274077497129303e+02, 1.370171107074110e+01, -5.627045731188505e-03, 1.097934706569515e-02, -5.421777326637415e+05
895, 1.887617975568547e-03, 4.700909584360030e-04, 4.274459050495255e+02, 1.370293424322262e+01, -4.931033164182498e-03, 9.258247644907231e-03, -5.207627107243892e+05
896, 1.880087022478594e-03, 4.839656011428388e-04, 4.274928782406499e+02, 1.370444009587337e+01, -4.289029547576323e-03, 7.755249726940083e-03, -5.064802167800490e+05
897, 1.872337979356715e-03, 4.977196294756830e-04, 4.275482406072926e+02, 1.370621488622857e+01, -3.730248499755045e-03, 6.500419120869619e-03, -4.997902762715798e+05
898, 1.864372777426912e-03, 5.113496156423267e-04, 4.276111579428279e+02, 1.370823187153926e+01, -3.287003430049851e-03, 5.524129051207844e-03, -5.007405163558861e+05
899, 1.856193401784495e-03, 5.248521627644684e-04, 4.276802224213860e+02, 1.371044592014060e+01, -2.993155898844762e-03, 4.854232738967224e-03, -5.089498676289145e+05
900, 1.847801890901351e-03, 5.382239057242885e-04, 4.277533442145528e+02, 1.371279003693217e+01, -2.881891674620512e-03, 4.512738521850653e-03, -5.236356726339100e+05
901, 1.839200336117917e-03, 5.514615120031075e-04, 4.278277222445265e+02, 1.371517442579127e+01, -2.982981542356347e-03, 4.512380558034495e-03, -5.436717068490924e+05
902, 1.830390881121976e-03, 5.645616825119181e-04, 4.278999134764246e+02, 1.371748871092525e+01, -3.319793626610462e-03, 4.853548286202263e-03, -5.676714849957416e+05
903, 1.821375721414399e-03, 5.775211524135887e-04, 4.279660043389175e+02, 1.371960743222336e+01, -3.906423957945260e-03, 5.522065578879762e-03, -5.940789166425804e+05
904, 1.812157103761985e-03, 5.903366919365285e-04, 4.280218701903171e+02, 1.372139836314381e+01, -4.745362236428676e-03, 6.488251351093426e-03, -6.212561451925122e+05
905, 1.802737325637519e-03, 6.030051071796146e-04, 4.280634999677731e+02, 1.372273291822154e+01, -5.826109699680784e-03, 7.707571818806788e-03, -6.475565928236595e+05
906, 1.793118734647192e-03, 6.155232409081792e-04, 4.280873496385445e+02, 1.372349748390445e+01, -7.125110836811674e-03, 9.123024061031073e-03, -6.713831209905909e+05
907, 1.783303727945530e-03, 6.278879733408584e-04, 4.280906721053198e+02, 1.372360399456044e+01, -8.607215568414940e-03, 1.066914521150034e-02, -6.912259430829909e+05
908, 1.773294751637971e-03, 6.400962229271072e-04, 4.280717662592871e+02, 1.372299791654697e+01, -1.022864795369990e-02, 1.227724247964317e-02, -7.056871933545895e+05
909, 1.763094300171245e-03, 6.521449471151865e-04, 4.280300899112341e+02, 1.372166186852283e+01, -1.194114834075924e-02, 1.388114181467381e-02, -7.135019827644894e+05
910, 1.752704915711709e-03, 6.640311431104312e-04, 4.279662046924392e+02, 1.371961385509723e+01, -1.369665111704424e-02, 1.542254979342038e-02, -7.135639489917078e+05
911, 1.742129187511779e-03, 6.757518486236087e-04, 4.278815534617780e+02, 1.371690013101272e+01, -1.545166427086881e-02, 1.685511146272032e-02, -7.049622602987302e+05
912, 1.731369751264639e-03, 6.873041426091844e-04, 4.277781152104620e+02, 1.371358413818351e+01, -1.717053027367903e-02, 1.814648425750281e-02, -6.870387579543729e+05
913, 1.720429288447371e-03, 6.986851459933065e-04, 4.276580104996709e+02, 1.370973385693194e+01, -1.882700679825966e-02, 1.927820013709267e-02, -6.594642785963055e+05
914, 1.709310525652672e-03, 7.098920223913329e-04, 4.275231450118613e+02, 1.370541037906187e+01, -2.040405921777229e-02, 2.024363314396552e-02, -6.223264752175130e+05
915, 1.698016233909332e-03, 7.209219788147164e-04, 4.273749609077471e+02, 1.370065993693439e+01, -2.189227383302861e-02, 2.104485868002195e-02, -5.762188415587922e+05
916, 1.686549227991634e-03, 7.317722663670768e-04, 4.272143260040873e+02, 1.369551035076216e+01, -2.328768780723483e-02, 2.168940581135574e-02, -5.223177181836131e+05
917, 1.674912365717855e-03, 7.424401809292831e-04, 4.270415362968980e+02, 1.368997110949783e+01, -2.458991703185298e-02, 2.218776665750436e-02, -4.624179953293367e+05
918, 1.663108547238038e-03, 7.529230638333770e-04, 4.268563630946285e+02, 1.368403488181538e+01, -2.580116925098119e-02, 2.255206518227193e-02, -3.989141637977682e+05
919, 1.651140714311210e-03, 7.632183025251685e-04, 4.266580567094231e+02, 1.367767763444354e+01, -2.692613443554035e-02, 2.279566891970061e-02, -3.347047249056399e+05
920, 1.639011849572239e-03, 7.733233312153390e-04, 4.264452550949584e+02, 1.367085570330462e+01, -2.797212362795364e-02, 2.293304381486914e-02, -2.730232485130543e+05
921, 1.626724975788495e-03, 7.832356315188904e-04, 4.262157998026482e+02, 1.366349989349303e+01, -2.894849822035277e-02, 2.297904185009956e-02, -2.171986956639509e+05
922, 1.614283155106516e-03, 7.929527330827787e-04, 4.259665414665133e+02, 1.365550924356684e+01, -2.986464004578955e-02, 2.294717119200521e-02, -1.703715517436348e+05
923, 1.601689488288856e-03, 8.024722142015781e-04, 4.256932483835784e+02, 1.364674809484523e+01, -3.072646204408105e-02, 2.284709250930510e-02, -1.351956876154148e+05
924, 1.588947113941306e-03, 8.117917024210207e-04, 4.253907374822393e+02, 1.363705028995357e+01, -3.153248644385372e-02, 2.268230187542874e-02, -1.135712903852288e+05
925, 1.576059207730695e-03, 8.209088751292626e-04, 4.250532284696460e+02, 1.362623052597543e+01, -3.227119765006042e-02, 2.244922076114984e-02, -1.064542453754216e+05
926, 1.563028981593440e-03, 8.298214601357258e-04, 4.246747927217037e+02, 1.361409874483522e+01, -3.292107071851345e-02, 2.213839054368654e-02, -1.137641587136870e+05
927, 1.549859682935070e-03, 8.385272362373774e-04, 4.242496614248402e+02, 1.360047001161579e+01, -3.345329498430488e-02, 2.173734007743296e-02, -1.344164069076236e+05
928, 1.536554593820901e-03, 8.470240337722989e-04, 4.237722398604975e+02, 1.358516497248639e+01, -3.383553899304308e-02, 2.123367870219504e-02, -1.664695908899918e+05
929, 1.523117030158077e-03, 8.553097351604119e-04, 4.232368588283470e+02, 1.356800188590172e+01, -3.403438260128477e-02, 2.061685084565813e-02, -2.073665404321308e+05
930, 1.509550340869177e-03, 8.633822754312234e-04, 4.226375676786288e+02, 1.354878998769397e+01, -3.401516151989039e-02, 1.987805613800542e-02, -2.542298442805003e+05
931, 1.495857907057593e-03, 8.712396427384597e-04, 4.219681146778082e+02, 1.352732886164081e+01, -3.373979437580722e-02, 1.900905794392835e-02, -3.041724280438586e+05
932, 1.482043141164890e-03, 8.788798788614603e-04, 4.212221924949551e+02, 1.350341630919511e+01, -3.316429424072429e-02, 1.800109375539111e-02, -3.545821308493316e+05
933, 1.468109486120348e-03, 8.863010796932086e-04, 4.203939042619709e+02, 1.347686329030562e+01, -3.223794865191022e-02, 1.684495277713983e-02, -4.033332477507091e+05
934, 1.454060414482920e-03, 8.935013957148741e-04, 4.194781401665092e+02, 1.344750599612131e+01, -3.090481512168983e-02, 1.553229704466274e-02, -4.489126965527698e+05
935, 1.439899427575793e-03, 9.004790324567516e-04, 4.184707782002453e+02, 1.341521228451998e+01, -2.910651251872345e-02, 1.405741297338681e-02, -4.904535679428583e+05
936, 1.425630054613784e-03, 9.072322509454814e-04, 4.173687388216730e+02, 1.337988343247198e+01, -2.678487125981906e-02, 1.241856409877345e-02, -5.276867241981797e+05
937, 1.411255851823789e-03, 9.137593681374368e-04, 4.161699708550294e+02, 1.334145368399212e+01, -2.388339657043193e-02, 1.061851725574518e-02, -5.608284577130225e+05
938, 1.396780401558493e-03, 9.200587573381746e-04, 4.148735112049396e+02, 1.329989216445408e+01, -2.034747958084621e-02, 8.664385461587324e-03, -5.904394275807512e+05
939, 1.382207311403576e-03, 9.261288486078411e-04, 4.134796573114562e+02, 1.325520840910298e+01, -1.612420006952783e-02, 6.567300182801596e-03, -6.172776550648691e+05
940, 1.367540213278625e-03, 9.319681291524348e-04, 4.119902041173891e+02, 1.320745995968388e+01, -1.116271046751852e-02, 4.342349600884163e-03, -6.421715158310987e+05
941, 1.352782762531983e-03, 9.375751437008251e-04, 4.104086488599728e+02, 1.315675892959239e+01, -5.415689604606424e-03, 2.008888038852239e-03, -6.659202510882914e+05
942, 1.337938637029761e-03, 9.429484948674372e-04, 4.087402828021527e+02, 1.310327494456911e+01, 1.158369119527287e-03, -4.089998954682961e-04, -6.892275518092869e+05
943, 1.323011536239238e-03, 9.480868435005097e-04, 4.069921606781450e+02, 1.304723416319439e+01, 8.592679595296481e-03, -2.882195082913036e-03, -7.126701063135961e+05
944, 1.308005180306872e-03, 9.529889090158394e-04, 4.051729855760464e+02, 1.298891558648916e+01, 1.691007356317363e-02, -5.376599707024222e-03, -7.366867198847347e+05
945, 1.292923309131166e-03, 9.576534697159296e-04, 4.032929521412992e+02, 1.292864603137805e+01, 2.612155883538969e-02, -7.853577413321438e-03, -7.615829044455717e+05
946, 1.277769681430603e-03, 9.620793630944628e-04, 4.013635686385499e+02, 1.286679442640112e+01, 3.622552204543877e-02, -1.027069541977168e-02, -7.875462152764850e+05
1013, 3.006894743473279e-04, 7.098920223913331e-04, 5.172969257080304e+02, 1.658335165563712e+01, 3.125586802295399e-01, 3.101012005011930e-01, -1.929694489567572e+06
1014, 2.895707115526287e-04, 6.986851459933065e-04, 5.211389559844682e+02, 1.670651832448706e+01, 3.028709504889825e-01, 3.101293191107704e-01, -1.932341258014743e+06
1015, 2.786302487353605e-04, 6.873041426091841e-04, 5.249357505488039e+02, 1.682823484027421e+01, 2.931537996954843e-01, 3.098163380170011e-01, -1.934870142108780e+06
1016, 2.678708124882211e-04, 6.757518486236088e-04, 5.286846713456574e+02, 1.694841663300043e+01, 2.834221071158867e-01, 3.091648331658178e-01, -1.937286738136814e+06
1017, 2.572950842882909e-04, 6.640311431104312e-04, 5.323831876538870e+02, 1.706698257355679e+01, 2.736906128800997e-01, 3.081780406804935e-01, -1.939596222844211e+06
1018, 2.469056998287545e-04, 6.521449471151867e-04, 5.360289048892029e+02, 1.718385589706921e+01, 2.639740221410478e-01, 3.068600047637228e-01, -1.941805474632317e+06
1019, 2.367052483620292e-04, 6.400962229271073e-04, 5.396195886898128e+02, 1.729896497502906e+01, 2.542868909903059e-01, 3.052154922345753e-01, -1.943923027284868e+06
1020, 2.266962720544696e-04, 6.278879733408580e-04, 5.431531676774498e+02, 1.741224340380524e+01, 2.446433820830947e-01, 3.032497266659849e-01, -1.945956541069906e+06
1021, 2.168812653528076e-04, 6.155232409081793e-04, 5.466277169198988e+02, 1.752362947449084e+01, 2.350570190606900e-01, 3.009680676861497e-01, -1.947914119033838e+06
1022, 2.072626743624802e-04, 6.030051071796142e-04, 5.500414296995513e+02, 1.763306526786780e+01, 2.255405318334576e-01, 2.983757493020625e-01, -1.949806703150653e+06
1023, 1.978428962380147e-04, 5.903366919365286e-04, 5.533925939674569e+02, 1.774049589957786e+01, 2.161058103291441e-01, 2.954777203483821e-01, -1.951642702344625e+06
1024, 1.886242785856006e-04, 5.775211524135883e-04, 5.566795740660762e+02, 1.784586893419599e+01, 2.067639382720541e-01, 2.922785746701909e-01, -1.953427086770844e+06
1025, 1.796091188780237e-04, 5.645616825119180e-04, 5.599007963658153e+02, 1.794913392477067e+01, 1.975252852136294e-01, 2.887825622187971e-01, -1.955165231466624e+06
1026, 1.707996638820822e-04, 5.514615120031073e-04, 5.630547348477425e+02, 1.805024195063891e+01, 1.883996513173210e-01, 2.849936922751599e-01, -1.956859842488251e+06
1027, 1.621981090986493e-04, 5.382239057242885e-04, 5.661398999635938e+02, 1.814914526030355e+01, 1.793964572382659e-01, 2.809159380944814e-01, -1.958511149395394e+06
1028, 1.538065982155054e-04, 5.248521627644685e-04, 5.691548385771131e+02, 1.824579726955281e+01, 1.705249399321970e-01, 2.765535021242153e-01, -1.960117405599535e+06
1029, 1.456272225730879e-04, 5.113496156423267e-04, 5.720981439921404e+02, 1.834015288293778e+01, 1.617943003170098e-01, 2.719110623767964e-01, -1.961677083779831e+06
1030, 1.376620206432851e-04, 4.977196294756830e-04, 5.749684704803752e+02, 1.843216895949910e+01, 1.532137715474488e-01, 2.669939362519740e-01, -1.963190031704950e+06
1031, 1.299129775214063e-04, 4.839656011428388e-04, 5.777645418023178e+02, 1.852180458592884e+01, 1.447926196312810e-01, 2.618081576269257e-01, -1.964657117299167e+06
1032, 1.223820244314530e-04, 4.700909584360030e-04, 5.804851511614094e+02, 1.860902107510028e+01, 1.365401151532351e-01, 2.563605146148547e-01, -1.966081084819811e+06
1033, 1.150710382448197e-04, 4.560991592070161e-04, 5.831291588041845e+02, 1.869378188913434e+01, 1.284654985981208e-01, 2.506585804445580e-01, -1.967467771687745e+06
1034, 1.079818410125364e-04, 4.419936905055792e-04, 5.856954941827048e+02, 1.877605270872225e+01, 1.205779272420513e-01, 2.447107111087230e-01, -1.968826220406337e+06
1035, 1.011161995111763e-04, 4.277780677102094e-04, 5.881831666356458e+02, 1.885580177553663e+01, 1.128863719085751e-01, 2.385259333427068e-01, -1.970168952446137e+06
1036, 9.447582480253769e-05, 4.134558336521342e-04, 5.905912794307510e+02, 1.893300034240035e+01, 1.053994468171173e-01, 2.321136541519178e-01, -1.971512769386785e+06
1037, 8.806237180721110e-05, 3.990305577323409e-04, 5.929190356403517e+02, 1.900762286164221e+01, 9.812520169343450e-02, 2.254832066447162e-01, -1.972876662541168e+06
1038, 8.187743889213928e-05, 3.845058350320110e-04, 5.951657256173459e+02, 1.907964658360556e+01, 9.107094896876246e-02, 2.186433598532223e-01, -1.974278665543291e+06
1039, 7.592256747226922e-05, 3.698852854165464e-04, 5.973306954914747e+02, 1.914905054671127e+01, 8.424320441983778e-02, 2.116019835234841e-01, -1.975734656813424e+06
1040, 7.019924162640168e-05, 3.551725526334286e-04, 5.994133101608575e+02, 1.921581439105133e+01, 7.764777268825936e-02, 2.043660081749604e-01, -1.977259156477465e+06
1041, 6.470888772732419e-05, 3.403713034041126e-04, 6.014129286417428e+02, 1.927991756815845e+01, 7.128993712173620e-02, 1.969416739884797e-01, -1.978864954336511e+06
1042, 5.945287408633282e-05, 3.254852265102116e-04, 6.033289033054022e+02, 1.934133931654264e+01, 6.517466516955636e-02, 1.893349138890233e-01, -1.980560649405895e+06
1043, 5.443251061221699e-05, 3.105180318741686e-04, 6.051605966141614e+02, 1.940005919820994e+01, 5.930674996316301e-02, 1.815516737497479e-01, -1.982348753988167e+06
1044, 4.964904848480512e-05, 2.954734496346700e-04, 6.069074005919711e+02, 1.945605772284419e+01, 5.369086200776226e-02, 1.735980548174691e-01, -1.984227649943328e+06
1045, 4.510367984314278e-05, 2.803552292170142e-04, 6.085687467378959e+02, 1.950931666561076e+01, 4.833153511410989e-02, 1.654802831148703e-01, -1.986192287580912e+06
1046, 4.079753748838821e-05, 2.651671383986787e-04, 6.101441029890046e+02, 1.955981896979377e+01, 4.323312856739704e-02, 1.572045815273360e-01, -1.988228169098560e+06
1047, 3.673169460149261e-05, 2.499129623703083e-04, 6.116329675339966e+02, 1.960754854847514e+01, 3.839978885655865e-02, 1.487769907217016e-01, -1.990307910210335e+06
1048, 3.290716447574294e-05, 2.345965027923689e-04, 6.130348585072882e+02, 1.965248995415069e+01, 3.383541562685073e-02, 1.402031348564385e-01, -1.992389644204237e+06
1049, 2.932490026422629e-05, 2.192215768476913e-04, 6.143493057413818e+02, 1.969462811433001e+01, 2.954363071386514e-02, 1.314879003143666e-01, -1.994408206077165e+06
1050, 2.598579474228546e-05, 2.037920162901523e-04, 6.155758270836006e+02, 1.973394757230537e+01, 2.552776439873936e-02, 1.226350493497992e-01, -1.996262585798613e+06
1051, 2.289068008501949e-05, 1.883116664897179e-04, 6.167139009840078e+02, 1.977043160838333e+01, 2.179088278789060e-02, 1.136468572239553e-01, -1.997806477485972e+06
1052, 2.004032765988939e-05, 1.727843854740994e-04, 6.177632792083572e+02, 1.980407226474397e+01, 1.833567655717710e-02, 1.045227664776373e-01, -1.998838820283556e+06
1053, 1.743544783447615e-05, 1.572140429672509e-04, 6.187233479261369e+02, 1.983484986339048e+01, 1.516477059074847e-02, 9.525987370139208e-02, -1.999094338820539e+06
1054, 1.507668979944277e-05, 1.416045194249516e-04, 6.195925438461068e+02, 1.986271428879525e+01, 1.228166221523574e-02, 8.585816161972813e-02, -1.998242459110493e+06
1055, 1.296464140674214e-05, 1.259597050677178e-04, 6.203694240902907e+02, 1.988761928560339e+01, 9.690557641218379e-03, 7.632104107743286e-02, -1.995907337679172e+06
1056, 1.109982902311202e-05, 1.102834989112746e-04, 6.210582865814542e+02, 1.990970263535016e+01, 7.392911614028212e-03, 6.662661404233303e-02, -1.991717194966345e+06
1057, 9.482717398893947e-06, 9.457980779484481e-05, 6.216679716235569e+02, 1.992924773788200e+01, 5.385643824804606e-03, 5.668759146938349e-02, -1.985385842254603e+06
1058, 8.113709552206694e-06, 7.885254540747616e-05, 6.221582114352273e+02, 1.994496370058833e+01, 3.679382261320233e-03, 4.651626291418508e-02, -1.976772439121467e+06
1059, 6.993146668506479e-06, 6.310563131267359e-05, 6.225163369908793e+02, 1.995644438359861e+01, 2.293080295864512e-03, 3.626474853207981e-02, -1.965651110342213e+06
1060, 6.121308015556326e-06, 4.734298997155776e-05, 6.230729874912116e+02, 1.997428932049566e+01, 1.179240294968331e-03, 2.488051565988894e-02, -1.950148716879365e+06
1061, 5.498410873826076e-06, 3.156854976481057e-05, 6.229826514170655e+02, 1.997139335338218e+01, 4.262036845614393e-04, 1.349416628841834e-02, -1.919981663124734e+06
1062, 5.124610482342584e-06, 1.578624201363682e-05, 6.226291635710061e+02, 1.996006134469264e+01, 7.876963558710510e-05, 4.989143077675415e-03, -1.827459656950198e+06
1063, 5.000000000000000e-06, 0.000000000000000e+00, 6.226458326196130e+02, 1.996059571611662e+01, -1.527868960634107e-05, -1.935576263270052e-03, -1.439281124973960e+06
865, 2.004875389517657e-03, 1.578624201363696e-05, 4.318608542861300e+02, 1.384446737843735e+01, -4.613796884856719e-05, 2.922305355142515e-03, -1.259797073894774e+06
864, 2.005000000000000e-03, 0.000000000000000e+00, 4.318800456378260e+02, 1.384508260910682e+01, 9.799163596710366e-06, -1.241404135198012e-03, -9.940750652760980e+05
866, 2.004501589126174e-03, 3.156854976481053e-05, 4.321428262792730e+02, 1.385350675309230e+01, -2.584923263117031e-04, 8.184205256504637e-03, -1.321941955630442e+06
867, 2.003878691984443e-03, 4.734298997155800e-05, 4.322345923984550e+02, 1.385644856416606e+01, -7.301696796610694e-04, 1.540567959447780e-02, -1.338961809944744e+06
868, 2.003006853331493e-03, 6.310563131267365e-05, 4.318826903313168e+02, 1.384516739190757e+01, -1.413537967699572e-03, 2.235490795137846e-02, -1.342674956560020e+06
869, 2.001886290447793e-03, 7.885254540747648e-05, 4.316775184495009e+02, 1.383859005247849e+01, -2.219159739356636e-03, 2.805552958432368e-02, -1.339776564705390e+06
870, 2.000517282601106e-03, 9.457980779484496e-05, 4.313966392297415e+02, 1.382958570962906e+01, -3.141715743620002e-03, 3.306871088783397e-02, -1.331557032629397e+06
