"Iteration","HeatFlux_Total","HeatFlux_Maximum","Temperature_Total","Res_Heat","Linear_Solver_Iterations","CFL_Number","Time(min)"
          46, -6.53092341e+03, 0.00000000e+00, 0.00000000e+00, -5.65522416e+00, 0.0000000000, 7286.7373274591, 0.0442183424
          47, -8.46521674e+03, 0.00000000e+00, 0.00000000e+00, -5.69459743e+00, 0.0000000000, 5868.2941821067, 0.0453060866
          48, -7.07607827e+03, 0.00000000e+00, 0.00000000e+00, -5.79711772e+00, 0.0000000000, 6309.7259478978, 0.0462039778
          49, -5.63214934e+03, 0.00000000e+00, 0.00000000e+00, -5.78306745e+00, 0.0000000000, 7621.2591594415, 0.0470968436
          50, -6.74690447e+03, 0.00000000e+00, 0.00000000e+00, -5.66683417e+00, 0.0000000000, 7378.6422182881, 0.0479883188
          51, -8.54176070e+03, 0.00000000e+00, 0.00000000e+00, -5.74943840e+00, 0.0000000000, 5646.0299351888, 0.0488838739
          52, -6.54127741e+03, 0.00000000e+00, 0.00000000e+00, -5.82870920e+00, 0.0000000000, 6573.9524846906, 0.0497852505
          53, -5.49640139e+03, 0.00000000e+00, 0.00000000e+00, -5.80406775e+00, 0.0000000000, 7607.5216728255, 0.0506788414
          54, -6.83927294e+03, 0.00000000e+00, 0.00000000e+00, -5.69695627e+00, 0.0000000000, 7187.8954891508, 0.0515701372
          55, -8.08516498e+03, 0.00000000e+00, 0.00000000e+00, -5.81386741e+00, 0.0000000000, 5616.8169836525, 0.0524612721
          56, -5.94545434e+03, 0.00000000e+00, 0.00000000e+00, -5.86720582e+00, 0.0000000000, 6966.5728857226, 0.0533562325
          57, -5.42795878e+03, 0.00000000e+00, 0.00000000e+00, -5.80586622e+00, 0.0000000000, 7685.8147471261, 0.0542474682
          58, -7.15136971e+03, 0.00000000e+00, 0.00000000e+00, -5.73419589e+00, 0.0000000000, 6673.4484311710, 0.0551395625
          59, -7.35489921e+03, 0.00000000e+00, 0.00000000e+00, -5.89149626e+00, 0.0000000000, 5658.2220393631, 0.0560318636
          60, -5.05264397e+03, 0.00000000e+00, 0.00000000e+00, -5.90034955e+00, 0.0000000000, 7559.9735836130, 0.0569224544
          61, -5.44528633e+03, 0.00000000e+00, 0.00000000e+00, -5.76667441e+00, 0.0000000000, 7684.2752606119, 0.0578214252
          62, -7.64837922e+03, 0.00000000e+00, 0.00000000e+00, -5.77721278e+00, 0.0000000000, 5648.4302591841, 0.0587139154
          63, -6.53589255e+03, 0.00000000e+00, 0.00000000e+00, -5.91298574e+00, 0.0000000000, 5759.1509752273, 0.0596089525
          64, -5.03391565e+03, 0.00000000e+00, 0.00000000e+00, -5.93120301e+00, 0.0000000000, 7395.6582387343, 0.0605046764
          65, -5.35477793e+03, 0.00000000e+00, 0.00000000e+00, -5.80587109e+00, 0.0000000000, 7648.0487601246, 0.0613958519
          66, -7.21896652e+03, 0.00000000e+00, 0.00000000e+00, -5.82164604e+00, 0.0000000000, 5730.8459068601, 0.0622902693
